,id,artist_ids,name,genres,popularity,release_date
0,1iFgAXxgvXayxLVEwTbayy,['5pVRwX5ZQR7hfJ18w8ZYkl'],Ich bin 3 Berliner,[],70,2017-04-28
1,4uwui9nVxgR7jrREw32UNW,['5pVRwX5ZQR7hfJ18w8ZYkl'],Nice Girl 2.0,[],66,2017-06-16
2,7rf2WFoJrzt191IKdIAr7m,['6FKvDHLWOm3kYey5V1uJTT'],Munchies,[],38,2017-02-17
3,2tk6giPMAwalw1S56jUDh9,"['6QzzeKV0VcnT2vJMYDPuL4', '5eioJDe26lOqkAMbuhzZYs']",Knöcheltief,[],66,2017-08-02
4,3mGsvwzWyad9lRd1hhR89w,['3ZuBEj9ppJe8GSdKaMTfMN'],K¡K¡,[],74,2017-06-16
5,0f6Jz0uKNw6bZkaoVQAm4V,['3GBBxBdoolb0B5YizZq9bF'],Massari,[],53,2017-07-21
6,15C8AnwlgAzkP2i7qdtWDF,['18ISxWwWjV6rPLoVCXf1dz'],Bros,[],62,2017-05-06
7,6WyLNdpT04tF3sPbe3S0cF,['18ISxWwWjV6rPLoVCXf1dz'],Monica Bellucci,[],65,2017-08-15
8,2l9a2HxBNMAsDCona4Hlt0,['18ISxWwWjV6rPLoVCXf1dz'],Blackout,[],54,2017-01-27
9,1RRlVVo4xIfjQKBwKsa9oV,['18ISxWwWjV6rPLoVCXf1dz'],Genesis EP,[],58,2016-03-03
10,27p4Q0E7iuASGcvwu0yiuo,['5Gi9FP1m5OCW7sYwetsUBd'],20:14,[],55,2017-04-14
11,5jmdPyNTzjEzYXdeWnhEup,['1XKjtpH5P81gpOXDB91IEB'],Kokaina,[],7,2016-09-08
12,2K0rdTSFXtUbtFXRfJUYt1,['1XKjtpH5P81gpOXDB91IEB'],Bon Voyage,[],67,2017-07-14
13,1Nb0fCCqjYQSUyQWTvL9Pe,['6QzzeKV0VcnT2vJMYDPuL4'],#DIY,[],75,2017-09-29
14,7L6pVkZfG7VsS4InE6b7JP,['2PzqiEyRzlQW0ZAVr1cuQM'],Contenance,[],62,2016-09-30
15,3GFtNDpTMjFmmPNVGI202h,['0tMFcqLXhtm1Gep20iuIR3'],Leben am Limit,[],72,2017-06-02
16,5PW7azibrZwyp1zMIPm8zK,['2qMezKrAKRh2Z2uR3fCqHt'],Verloren im Paradies,[],64,2017-06-23
17,0gKTtgekVYkUOubWymANFF,"['6QzzeKV0VcnT2vJMYDPuL4', '1aS5tqEs9ci5P9KD9tZWa6', '0Dvx6p8JDyzeOPGmaCIH1L']",GottSeiDank,[],65,2017-09-13
18,4oPE87qmY8S4X69HiZJvpI,"['6gto7HVNhu4ARE3P3g8Y5Y', '2JwyRtuXf2l6sTnSnGVIa1']",Zieh' den Rucksack aus,[],72,2017-09-28
19,6LcbhFnEpPsY1JkyA8Sgv8,"['6cHU6QSNCvoyfFfI52w070', '2GH5uRMxmuAWn90B8DEZU3']",Movements - Single,[],60,2015-03-18
20,1lCczeVbLAPh3nJzp7qGgu,['67qogtRNI0GjUr8PlaG6Zh'],Northern Lights,[],54,2016-10-14
21,56Bti0icDO1UzOy7I1ueoq,['0u18Cq5stIQLUoIaULzDmA'],In Time (feat. Belle Doron),[],54,2017-01-11
22,5fffaeeOmkUPC1dgu3sX7V,['45eNHdiiabvmbp4erw26rg'],Ashes (Remixes),[],72,2016-12-16
23,18vw5DWqGnkpJABgaNjkXs,['3I9YOkavspWk1aHQTpiVxv'],Ass Clap,[],1,2015-05-19
24,5yg8Il3DG8UKCRh0AjRqKA,['3I9YOkavspWk1aHQTpiVxv'],FRL,[],7,2016-07-15
25,1aadwcYpfo3Emuh6LHnc78,['47z7ZrgFoBvVpCnElCE3Zh'],Los Amsterdam,[],67,2017-03-31
26,4mJ9gujMxpESUUfIIGs2DR,['0Olr5bDiMEkn5Z9eQwUIAq'],Teenage Craze (SACHI Remix),[],39,2016-03-11
27,6qwPUxQvnyUsVuvu8WsSNJ,['540vIaP2JwjQb9dm3aArA4'],4 Life (Habstrakt Remix),[],46,2017-03-22
28,6A1vN5UpAKJmMpHmjOeyhU,['64KEffDW9EtZ1y2vBYgq8T'],Keep It Mello (Sikdope Remix) [feat. Omar Linx],[],53,2016-09-22
29,2171Xej1ilxs504JS6eayi,['11gWrKZMBsGQWmobv3oNfW'],Run,[],58,2015-03-17
30,1ryx7dR65CbJgeJys4gFiL,['0jNDKefhfSbLR9sFvcPLHo'],Light (Remixes) - EP,[],67,2017-06-23
31,28CWFNpsvi5RNab1rk3KiB,"['5ttgIeUVka6FLyi00Uu5h8', '5TgQ66WuWkoQ2xYxaSTnVP']",Higher,[],38,2016-03-25
32,4OzNNlB0YbT16uWQgT6cux,['76YIoWHp3Ri3q1ocOPtFzp'],Spaceships,[],57,2016-04-08
33,0G2OqfIr5krjJunSMQ8cVm,['5fMUXHkw8R8eOP2RNVYEZX'],Revolution (Remixes Pt. 2),[],44,2015-05-25
34,6ZOXiVL8rmk2ATHJiFJhiD,['137W8MRPWKqSmrBGDBFSop'],Rolling Papers,[],75,2011-03-29
35,5b2ABzur4C2JLjDn5qqmWB,['1HQGhla3VNj1dBmKTtVT2t'],Thief,[],3,2016-03-25
36,3zXR5GOXPq0Uc7tWC9fO3X,['6nxWCVXbOlEVRexSbLsTer'],Skin,[],66,2016-05-27
37,2Ohkfv22XmncNwWZwn0InX,"['4AA8eXtzqh5ykxtafLaPOi', '6PRTUJAFSFJnQBFJlTt3KZ']",Lone (feat. JOY.),[],32,2016-04-08
38,6b54hMdQpHW6pxqbKhhdYc,"['5fMUXHkw8R8eOP2RNVYEZX', '6vD1IllGayoB4YexYeazpH']",Be Right There (Remixes),[],38,2015-12-04
39,66bTiBTbAGfHkcjj7HxBx5,['7MlotYZhHjOlXcvmwrITj8'],It's Alright (NGHTMRE Remix) [feat. Lizz Kellerman],[],40,2015-06-24
40,2v4Crisjd4sT782Jvn7ISC,['64KEffDW9EtZ1y2vBYgq8T'],Alone,[],72,2016-05-13
41,5LRpg4dBNSeqUAaiUB0ArL,['6GpHhOPYcMVyiMtZyeWsfw'],The Vibe (Remix) [feat. Yung Fusion],[],49,2015-03-08
