,id,name,genres,popularity,followers
0,5pVRwX5ZQR7hfJ18w8ZYkl,Ufo361,"['deep german hip hop', 'german hip hop']",76,265009
1,5pVRwX5ZQR7hfJ18w8ZYkl,Ufo361,"['deep german hip hop', 'german hip hop']",76,265009
2,6FKvDHLWOm3kYey5V1uJTT,Curly,[],36,2347
3,49AeDrw69nrWEGy6pwOBHU,Young Kira,[],50,1826
4,6QzzeKV0VcnT2vJMYDPuL4,Trettmann,['deep german hip hop'],75,48370
5,5eioJDe26lOqkAMbuhzZYs,Gzuz,['deep german hip hop'],81,222946
6,3ZuBEj9ppJe8GSdKaMTfMN,Nimo,['deep german hip hop'],79,218601
7,4PvnP3yCzrT289cX3wCdOx,Yung Hurn,"['deep german hip hop', 'underground hip hop']",69,59743
8,5pVRwX5ZQR7hfJ18w8ZYkl,Ufo361,"['deep german hip hop', 'german hip hop']",76,265009
9,3ZuBEj9ppJe8GSdKaMTfMN,Nimo,['deep german hip hop'],79,218601
10,3ZuBEj9ppJe8GSdKaMTfMN,Nimo,['deep german hip hop'],79,218601
11,3GBBxBdoolb0B5YizZq9bF,Eno,['deep german hip hop'],65,35387
12,18ISxWwWjV6rPLoVCXf1dz,RIN,[],76,89426
13,18ISxWwWjV6rPLoVCXf1dz,RIN,[],76,89426
14,18ISxWwWjV6rPLoVCXf1dz,RIN,[],76,89426
15,18ISxWwWjV6rPLoVCXf1dz,RIN,[],76,89426
16,5Gi9FP1m5OCW7sYwetsUBd,Marvin Game,"['deep german hip hop', 'german hip hop']",61,32991
17,3NzrMQZM3xhCUXdmv3G5Cb,CE$,['deep german hip hop'],51,10650
18,1XKjtpH5P81gpOXDB91IEB,Miami Yacine,['deep german hip hop'],76,113689
19,1XKjtpH5P81gpOXDB91IEB,Miami Yacine,['deep german hip hop'],76,113689
20,6QzzeKV0VcnT2vJMYDPuL4,Trettmann,['deep german hip hop'],75,48370
21,6fpcc1YopVYoJIXKIfvY4w,Joey Bargeld,[],55,660
22,3NjbpG6MmFGVLXwbcPXH90,Haiyti,"['deep german hip hop', 'german hip hop']",58,12157
23,2PzqiEyRzlQW0ZAVr1cuQM,Laruzo,"['deep german hip hop', 'german hip hop']",62,12451
24,6YTILOAf9umh7RMEJdigWm,Maxe,[],55,72
25,0tMFcqLXhtm1Gep20iuIR3,SXTN,"['deep german hip hop', 'german hip hop']",72,125804
26,2qMezKrAKRh2Z2uR3fCqHt,PA Sports,"['deep german hip hop', 'german hip hop']",67,102686
27,0Dvx6p8JDyzeOPGmaCIH1L,RAF Camora,[],83,190006
28,1aS5tqEs9ci5P9KD9tZWa6,Bonez MC,[],83,228826
29,6QzzeKV0VcnT2vJMYDPuL4,Trettmann,['deep german hip hop'],75,48370
30,1aS5tqEs9ci5P9KD9tZWa6,Bonez MC,[],83,228826
31,0Dvx6p8JDyzeOPGmaCIH1L,RAF Camora,[],83,190006
32,0tMFcqLXhtm1Gep20iuIR3,SXTN,"['deep german hip hop', 'german hip hop']",72,125804
33,6gto7HVNhu4ARE3P3g8Y5Y,Kollegah,"['deep german hip hop', 'german hip hop']",80,669512
34,2JwyRtuXf2l6sTnSnGVIa1,Farid Bang,"['deep german hip hop', 'german hip hop']",77,262629
35,2GH5uRMxmuAWn90B8DEZU3,Pham,"['bass trap', 'electronic trap', 'vapor twitch']",62,28414
36,0daSHuKxoXYl50HIQ9aKzt,Yung Fusion,[],61,4492
37,67qogtRNI0GjUr8PlaG6Zh,Zeds Dead,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'moombahton', 'progressive electro house', 'tropical house', 'vapor twitch']",68,219930
38,76M2Ekj8bG8W7X2nbx2CpF,NGHTMRE,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'moombahton', 'vapor twitch']",70,123503
39,54pgkpWVgQYbQXD8bkUP8n,GG Magree,[],57,798
40,0u18Cq5stIQLUoIaULzDmA,DROELOE,"['bass trap', 'brostep', 'catstep', 'edm', 'electronic trap', 'tracestep', 'vapor soul', 'vapor twitch']",68,29138
41,0vG28tQeh1adA0xHmdUTVQ,Belle Doron,[],50,87
42,45eNHdiiabvmbp4erw26rg,Illenium,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'indie poptimism', 'tropical house']",81,232578
43,75aiMKKxzFHGFRxyLwvL2d,Liam O'Donnell,[],63,297
44,3I9YOkavspWk1aHQTpiVxv,Crizzly,"['brostep', 'electronic trap', 'moombahton']",47,10251
45,0I5ad0o5PCMyjl99jUGyOQ,Nilo Stari,[],27,22
46,3I9YOkavspWk1aHQTpiVxv,Crizzly,"['brostep', 'electronic trap', 'moombahton']",47,10251
47,1ohrIe7dZuHqfTerwXx4hY,J. Goods,[],7,53
48,4qxhTRkgsWIGYbdG0tlcEi,Rumuzik,[],6,39
49,47z7ZrgFoBvVpCnElCE3Zh,Yellow Claw,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'tropical house']",78,421762
50,6M7RdR9ZP52h2mfNLmiHtU,GTA,"['bass trap', 'big room', 'brostep', 'deep big room', 'edm', 'electro house', 'electronic trap', 'moombahton', 'progressive electro house', 'vapor twitch']",69,147282
51,0Olr5bDiMEkn5Z9eQwUIAq,KLOE,['indie poptimism'],40,5518
52,6kG0WKHsAOfWp5IsizmQxR,SACHI,[],54,5236
