name,url
Aaron Carter,https://www.usmagazine.com/celebrities/aaron-carter/
Aaron Eckhart,https://www.usmagazine.com/celebrities/aaron-eckhart/
Abbie Cornish,https://www.usmagazine.com/celebrities/abbie-cornish/
Ace Young,https://www.usmagazine.com/celebrities/ace-young/
Adam Brody,https://www.usmagazine.com/celebrities/adam-brody/
Adam Duritz,https://www.usmagazine.com/celebrities/adam-duritz/
Adam Lambert,https://www.usmagazine.com/celebrities/adam-lambert/
Adam Levine,https://www.usmagazine.com/celebrities/adam-levine/
Adam Sandler,https://www.usmagazine.com/celebrities/adam-sandler/
Adele,https://www.usmagazine.com/celebrities/adele/
Adrian Grenier,https://www.usmagazine.com/celebrities/adrian-grenier/
Adrien Brody,https://www.usmagazine.com/celebrities/adrien-brody/
Alanis Morissette,https://www.usmagazine.com/celebrities/alanis-morissette/
Alec Baldwin,https://www.usmagazine.com/celebrities/alec-baldwin/
Alessandra Ambrosio,https://www.usmagazine.com/celebrities/alessandra-ambrosio/
Alex McCord,https://www.usmagazine.com/celebrities/alex-mccord/
Alex O'Loughlin,https://www.usmagazine.com/celebrities/alex-o-loughlin/
Alex Pettyfer,https://www.usmagazine.com/celebrities/alex-pettyfer/
Alex Rodriguez,https://www.usmagazine.com/celebrities/alex-rodriguez/
Alexander Ludwig,https://www.usmagazine.com/celebrities/alexander-ludwig/
Alexander Skarsgard,https://www.usmagazine.com/celebrities/alexander-skarsgard/
Alexis Bledel,https://www.usmagazine.com/celebrities/alexis-bledel/
Ali Fedotowsky,https://www.usmagazine.com/celebrities/ali-fedotowsky/
Ali Larter,https://www.usmagazine.com/celebrities/ali-larter/
Alicia Keys,https://www.usmagazine.com/celebrities/alicia-keys/
Alicia Silverstone,https://www.usmagazine.com/celebrities/alicia-silverstone/
Alison Sweeney,https://www.usmagazine.com/celebrities/alison-sweeney/
Allison Williams,https://www.usmagazine.com/celebrities/allison-williams/
Alyson Hannigan,https://www.usmagazine.com/celebrities/alyson-hannigan/
Alyssa Milano,https://www.usmagazine.com/celebrities/alyssa-milano/
Amanda Bynes,https://www.usmagazine.com/celebrities/amanda-bynes/
Amanda Peet,https://www.usmagazine.com/celebrities/amanda-peet/
Amanda Seyfried,https://www.usmagazine.com/celebrities/amanda-seyfried/
Amber Portwood,https://www.usmagazine.com/celebrities/amber-portwood/
Amber Riley,https://www.usmagazine.com/celebrities/amber-riley/
Amber Rose,https://www.usmagazine.com/celebrities/amber-rose/
America Ferrera,https://www.usmagazine.com/celebrities/america-ferrera/
Amy Adams,https://www.usmagazine.com/celebrities/amy-adams/
Amy Poehler,https://www.usmagazine.com/celebrities/amy-poehler/
Amy Winehouse,https://www.usmagazine.com/celebrities/amy-winehouse/
Ana Ortiz,https://www.usmagazine.com/celebrities/ana-ortiz/
Anderson Cooper,https://www.usmagazine.com/celebrities/anderson-cooper/
Andi Dorfman,https://www.usmagazine.com/celebrities/andi-dorfman/
Andrew Firestone,https://www.usmagazine.com/celebrities/andrew-firestone/
Andrew Garfield,https://www.usmagazine.com/celebrities/andrew-garfield/
Andy Cohen,https://www.usmagazine.com/celebrities/andy-cohen/
Andy Roddick,https://www.usmagazine.com/celebrities/andy-roddick/
Andy Samberg,https://www.usmagazine.com/celebrities/andy-samberg/
Angelina Jolie,https://www.usmagazine.com/celebrities/angelina-jolie/
Angelina Pivarnick,https://www.usmagazine.com/celebrities/angelina-pivarnick/
Angie Harmon,https://www.usmagazine.com/celebrities/angie-harmon/
Anna Faris,https://www.usmagazine.com/celebrities/anna-faris/
Anna Kendrick,https://www.usmagazine.com/celebrities/anna-kendrick/
Anna Kournikova,https://www.usmagazine.com/celebrities/anna-kournikova/
Anna Nicole Smith,https://www.usmagazine.com/celebrities/anna-nicole-smith/
Anna Paquin,https://www.usmagazine.com/celebrities/anna-paquin/
Anna Wintour,https://www.usmagazine.com/celebrities/anna-wintour/
AnnaLynne McCord,https://www.usmagazine.com/celebrities/annalynne-mccord/
AnnaSophia Robb,https://www.usmagazine.com/celebrities/annasophia-robb/
Anne Hathaway,https://www.usmagazine.com/celebrities/anne-hathaway/
Annette Bening,https://www.usmagazine.com/celebrities/annette-bening/
Ariana Grande,https://www.usmagazine.com/celebrities/ariana-grande/
Ariel Winter,https://www.usmagazine.com/celebrities/ariel-winter/
Armie Hammer,https://www.usmagazine.com/celebrities/armie-hammer/
Arnold Schwarzenegger,https://www.usmagazine.com/celebrities/arnold-schwarzenegger/
Ashlee Simpson,https://www.usmagazine.com/celebrities/ashlee-simpson/
Ashley Benson,https://www.usmagazine.com/celebrities/ashley-benson/
Ashley Greene,https://www.usmagazine.com/celebrities/ashley-greene/
Ashley Hebert,https://www.usmagazine.com/celebrities/ashley-hebert/
Ashley Judd,https://www.usmagazine.com/celebrities/ashley-judd/
Ashley Olsen,https://www.usmagazine.com/celebrities/ashley-olsen/
Ashley Tisdale,https://www.usmagazine.com/celebrities/ashley-tisdale/
Ashton Kutcher,https://www.usmagazine.com/celebrities/ashton-kutcher/
Aubrey O'Day,https://www.usmagazine.com/celebrities/aubrey-o-day/
Audrina Patridge,https://www.usmagazine.com/celebrities/audrina-patridge/
Avril Lavigne,https://www.usmagazine.com/celebrities/avril-lavigne/
B.J. Novak,https://www.usmagazine.com/celebrities/b-j-novak/
Balthazar Getty,https://www.usmagazine.com/celebrities/balthazar-getty/
Bar Refaeli,https://www.usmagazine.com/celebrities/bar-refaeli/
Barack Obama,https://www.usmagazine.com/celebrities/barack-obama/
Barbara Walters,https://www.usmagazine.com/celebrities/barbara-walters/
Barry Zito,https://www.usmagazine.com/celebrities/barry-zito/
Ben Affleck,https://www.usmagazine.com/celebrities/ben-affleck/
Ben Flajnik,https://www.usmagazine.com/celebrities/ben-flajnik/
Benedict Cumberbatch,https://www.usmagazine.com/celebrities/benedict-cumberbatch/
Benjamin McKenzie,https://www.usmagazine.com/celebrities/benjamin-mckenzie/
Benji Madden,https://www.usmagazine.com/celebrities/benji-madden/
Bethenny Frankel,https://www.usmagazine.com/celebrities/bethenny-frankel/
Bill Rancic,https://www.usmagazine.com/celebrities/bill-rancic/
Billy Ray Cyrus,https://www.usmagazine.com/celebrities/billy-ray-cyrus/
Blake Lewis,https://www.usmagazine.com/celebrities/blake-lewis/
Blake Lively,https://www.usmagazine.com/celebrities/blake-lively/
Blake Shelton,https://www.usmagazine.com/celebrities/blake-shelton/
Bob Harper,https://www.usmagazine.com/celebrities/bob-harper/
Bobbi Kristina Brown,https://www.usmagazine.com/celebrities/bobbi-kristina-brown/
Boo Boo Stewart,https://www.usmagazine.com/celebrities/boo-boo-stewart/
Brad Goreski,https://www.usmagazine.com/celebrities/brad-goreski/
Brad Paisley,https://www.usmagazine.com/celebrities/brad-paisley/
Brad Pitt,https://www.usmagazine.com/celebrities/brad-pitt/
Brad Womack,https://www.usmagazine.com/celebrities/brad-womack/
Bradley Cooper,https://www.usmagazine.com/celebrities/bradley-cooper/
Brandi Glanville,https://www.usmagazine.com/celebrities/brandi-glanville/
Brandon Davis,https://www.usmagazine.com/celebrities/brandon-davis/
Brandy Norwood,https://www.usmagazine.com/celebrities/brandy-norwood/
Bret Michaels,https://www.usmagazine.com/celebrities/bret-michaels/
Brian Austin Green,https://www.usmagazine.com/celebrities/brian-austin-green/
Bridget Marquardt,https://www.usmagazine.com/celebrities/bridget-marquardt/
Bridget Moynahan,https://www.usmagazine.com/celebrities/bridget-moynahan/
Bristol Palin,https://www.usmagazine.com/celebrities/bristol-palin/
Britney Spears,https://www.usmagazine.com/celebrities/britney-spears/
