,id,name,duration_ms,album_id,popularity,artist_ids
0,1iPTSLcoezNpFMaXK29EsG,Der Pate,228750,1iFgAXxgvXayxLVEwTbayy,65,['5pVRwX5ZQR7hfJ18w8ZYkl']
1,607TgBgbTvP8CTgIHN0R6q,Nice Girl 2.0,231859,4uwui9nVxgR7jrREw32UNW,71,['5pVRwX5ZQR7hfJ18w8ZYkl']
2,01kxCMT4MUcJN1qVQ3sQzu,Warum nich (feat. Young Kira),209250,7rf2WFoJrzt191IKdIAr7m,40,"['6FKvDHLWOm3kYey5V1uJTT', '49AeDrw69nrWEGy6pwOBHU']"
3,27XVTa9Eb2nO6lhhY5SbTl,Knöcheltief,207526,2tk6giPMAwalw1S56jUDh9,71,"['6QzzeKV0VcnT2vJMYDPuL4', '5eioJDe26lOqkAMbuhzZYs']"
4,6ZyLo7sln0QFP7YXqgXCU8,Wie Falco,252960,3mGsvwzWyad9lRd1hhR89w,70,"['3ZuBEj9ppJe8GSdKaMTfMN', '4PvnP3yCzrT289cX3wCdOx', '5pVRwX5ZQR7hfJ18w8ZYkl']"
5,25qiaiBRyMFOktyaeQSMon,LFR,265586,3mGsvwzWyad9lRd1hhR89w,63,['3ZuBEj9ppJe8GSdKaMTfMN']
6,7fUWZUNj5qbEuoL6K9947g,Heute mit mir,221680,3mGsvwzWyad9lRd1hhR89w,72,['3ZuBEj9ppJe8GSdKaMTfMN']
7,5UfqW3E0rt8umTM91HeHU7,Massari,177818,0f6Jz0uKNw6bZkaoVQAm4V,58,['3GBBxBdoolb0B5YizZq9bF']
8,2PcREcTtGiNTUCM4g2Qg4Z,Bros,196099,15C8AnwlgAzkP2i7qdtWDF,67,['18ISxWwWjV6rPLoVCXf1dz']
9,7vuZGOA24pLl6JrEAIvitZ,Monica Bellucci,204053,6WyLNdpT04tF3sPbe3S0cF,70,['18ISxWwWjV6rPLoVCXf1dz']
10,6hphlRTcnTJI8dUbJtN3Q2,Blackout,168015,2l9a2HxBNMAsDCona4Hlt0,60,['18ISxWwWjV6rPLoVCXf1dz']
11,7KFhyyCJ0pX5QdgGxlOEgM,Curtis,195857,1RRlVVo4xIfjQKBwKsa9oV,52,['18ISxWwWjV6rPLoVCXf1dz']
12,0BVDKxhBV9ToDzFOqVptJg,Keine Menschen,224400,27p4Q0E7iuASGcvwu0yiuo,49,"['5Gi9FP1m5OCW7sYwetsUBd', '3NzrMQZM3xhCUXdmv3G5Cb']"
13,1QtFfkWKYRRI4Pj0lPDj1i,Kokaina,201979,5jmdPyNTzjEzYXdeWnhEup,11,['1XKjtpH5P81gpOXDB91IEB']
14,7McVnXcGdaVAzjKpN1BWPb,Bon Voyage,150089,2K0rdTSFXtUbtFXRfJUYt1,72,['1XKjtpH5P81gpOXDB91IEB']
15,0vnXv1pYL1OjY4sOCWOmXH,Nur noch einen,273814,1Nb0fCCqjYQSUyQWTvL9Pe,63,"['6QzzeKV0VcnT2vJMYDPuL4', '6fpcc1YopVYoJIXKIfvY4w', '3NjbpG6MmFGVLXwbcPXH90']"
16,5FnRT97hnqXEK8rTA6FJzy,247,168407,7L6pVkZfG7VsS4InE6b7JP,62,"['2PzqiEyRzlQW0ZAVr1cuQM', '6YTILOAf9umh7RMEJdigWm']"
17,4h6UIDvGWTYZvu4BLf2GpO,Von Party zu Party,224186,3GFtNDpTMjFmmPNVGI202h,66,['0tMFcqLXhtm1Gep20iuIR3']
18,1BRdeyNaPcblzeqaBum5TS,Sie will,220680,5PW7azibrZwyp1zMIPm8zK,66,"['2qMezKrAKRh2Z2uR3fCqHt', '0Dvx6p8JDyzeOPGmaCIH1L', '1aS5tqEs9ci5P9KD9tZWa6']"
19,5Rw35kLemvSdxXmpQveQ7B,GottSeiDank,221990,0gKTtgekVYkUOubWymANFF,70,"['6QzzeKV0VcnT2vJMYDPuL4', '1aS5tqEs9ci5P9KD9tZWa6', '0Dvx6p8JDyzeOPGmaCIH1L']"
20,5peJfpkLPMilv44VqUa2AS,Bongzimmer,286826,3GFtNDpTMjFmmPNVGI202h,68,['0tMFcqLXhtm1Gep20iuIR3']
21,6F0fXw4G0dqRWJnvWPZM67,Zieh' den Rucksack aus,155788,4oPE87qmY8S4X69HiZJvpI,77,"['6gto7HVNhu4ARE3P3g8Y5Y', '2JwyRtuXf2l6sTnSnGVIa1']"
22,3gZUflBBfgS3QiTSTg0hk0,Movements,208671,6LcbhFnEpPsY1JkyA8Sgv8,65,"['2GH5uRMxmuAWn90B8DEZU3', '0daSHuKxoXYl50HIQ9aKzt']"
23,1COLVldV30fpjx4fIq2Ppl,Frontlines,214733,1lCczeVbLAPh3nJzp7qGgu,52,"['67qogtRNI0GjUr8PlaG6Zh', '76M2Ekj8bG8W7X2nbx2CpF', '54pgkpWVgQYbQXD8bkUP8n']"
24,6PMXCAKSAH7GAZkmUwQ5hB,In Time (feat. Belle Doron),223500,56Bti0icDO1UzOy7I1ueoq,59,"['0u18Cq5stIQLUoIaULzDmA', '0vG28tQeh1adA0xHmdUTVQ']"
25,40ZZYF9I8cGHEuT1h9Gw37,It's All On U (T-Mass & LZRD Remix) [feat. Liam O'Donnell],204778,5fffaeeOmkUPC1dgu3sX7V,71,"['45eNHdiiabvmbp4erw26rg', '75aiMKKxzFHGFRxyLwvL2d']"
26,5CRXFQWkF76srFTPXyttQr,Ass Clap,243428,18vw5DWqGnkpJABgaNjkXs,3,"['3I9YOkavspWk1aHQTpiVxv', '0I5ad0o5PCMyjl99jUGyOQ']"
27,1PZhg68N9zUKtTn4FVket5,FRL,256500,5yg8Il3DG8UKCRh0AjRqKA,10,"['3I9YOkavspWk1aHQTpiVxv', '1ohrIe7dZuHqfTerwXx4hY', '4qxhTRkgsWIGYbdG0tlcEi']"
28,6s9FAxwIwhUlu6zL2BgBPr,Hold On To Me (feat. GTA),224205,1aadwcYpfo3Emuh6LHnc78,43,"['47z7ZrgFoBvVpCnElCE3Zh', '6M7RdR9ZP52h2mfNLmiHtU']"
29,3tUamcC8F9eEJ4TdOGUg3H,Teenage Craze - SACHI Remix,214240,4mJ9gujMxpESUUfIIGs2DR,44,"['0Olr5bDiMEkn5Z9eQwUIAq', '6kG0WKHsAOfWp5IsizmQxR']"
30,18Lu6iY1XAcSVf7RYV07Gc,4 Life - Habstrakt Remix,210461,6qwPUxQvnyUsVuvu8WsSNJ,51,"['540vIaP2JwjQb9dm3aArA4', '0JOxt5QOwq0czoJxvSc5hS', '1YYJxpOXYk1z1WtqdeLMkn']"
31,2dUyeYCA2NBTvQmlZp836N,Keep It Mello (Sikdope Remix) [feat. Omar Linx],185600,6A1vN5UpAKJmMpHmjOeyhU,58,"['64KEffDW9EtZ1y2vBYgq8T', '6fSNDuge2fLINdnCCbpZx6']"
32,7tyJFB3jI3zyUNI38rhLUG,I Want U,210017,2171Xej1ilxs504JS6eayi,57,['11gWrKZMBsGQWmobv3oNfW']
33,7zTx8ePYAmPFQuxP3xlXZn,Light,239853,1ryx7dR65CbJgeJys4gFiL,71,['0jNDKefhfSbLR9sFvcPLHo']
34,6nRt8NiaJpLYm1cfLl163X,Higher,274293,28CWFNpsvi5RNab1rk3KiB,43,"['5ttgIeUVka6FLyi00Uu5h8', '5TgQ66WuWkoQ2xYxaSTnVP']"
35,7Ktv8bQUjZt0rr16qgB4h2,Spaceships,169608,4OzNNlB0YbT16uWQgT6cux,62,['76YIoWHp3Ri3q1ocOPtFzp']
36,3jc9H5qb7dQT15WsYhmvzQ,Revolution (feat. Faustix & Imanos and Kai) - Unlike Pluto Remix,198120,0G2OqfIr5krjJunSMQ8cVm,43,"['5fMUXHkw8R8eOP2RNVYEZX', '6jPriOYMyUL9kNonBI1CNd', '26fsavNxrXVdRK7wL3jZKb', '07cXXY7NDK9oWLUvPfUVvx']"
37,2kzRSiyignH8yzPTrWvyPo,No Sleep,191320,6ZOXiVL8rmk2ATHJiFJhiD,66,['137W8MRPWKqSmrBGDBFSop']
38,4Y8XcGssM81dwtlbjkqfm5,Thief,239711,5b2ABzur4C2JLjDn5qqmWB,5,['1HQGhla3VNj1dBmKTtVT2t']
39,3w23sQ5FSzCKEviFYf0nSQ,Smoke & Retribution,241223,3zXR5GOXPq0Uc7tWC9fO3X,52,"['6nxWCVXbOlEVRexSbLsTer', '68kEuyFKyqrdQQLLsmiatm', '6JcD2YKEhgimweLpUI0NEw']"
40,0g90R7M0KuDCxQLWR4VhGt,Lone (feat. JOY.),237030,2Ohkfv22XmncNwWZwn0InX,37,"['4AA8eXtzqh5ykxtafLaPOi', '6PRTUJAFSFJnQBFJlTt3KZ', '2sphpXGg1u97VSzbm5gR2P']"
41,4adXg2LrZs0tbZe52xl2u2,Be Right There - Boombox Cartel Remix,210993,6b54hMdQpHW6pxqbKhhdYc,42,"['5fMUXHkw8R8eOP2RNVYEZX', '6vD1IllGayoB4YexYeazpH', '4m1yRHUMhvB8gKAJTjK4kO']"
42,6y3IyUWmMpCZc2cTIMSHQ7,It's Alright (NGHTMRE Remix) [feat. Lizz Kellerman],220800,66bTiBTbAGfHkcjj7HxBx5,45,"['7MlotYZhHjOlXcvmwrITj8', '0JhfqSDSiWsuaE6M2vvOlD']"
43,12mGwph2YzDIlChtq3EdXP,Alone,273802,2v4Crisjd4sT782Jvn7ISC,77,['64KEffDW9EtZ1y2vBYgq8T']
44,0HZPSRXPvmkoLMrC6G34eD,Games,215919,2171Xej1ilxs504JS6eayi,40,['11gWrKZMBsGQWmobv3oNfW']
45,1y9WGfneldwNla7V23z1Xu,The Vibe (Remix) [feat. Yung Fusion],188472,5LRpg4dBNSeqUAaiUB0ArL,54,"['6GpHhOPYcMVyiMtZyeWsfw', '0daSHuKxoXYl50HIQ9aKzt']"
46,6OkP1t5se0cYZTfnNE5gC4,Love Me,195000,2LQHSnhq9Da9qOVG4tAFQA,57,"['7bKJsFgjE6XoO5fDhTCCqX', '0AepkoQhYvkjEzzwIcGxdV']"
47,0bdSc7kE4MawBG1eUdK1Ys,Invitation - Original Mix,152460,4v9JvtFiqI4Ij9IQWsLzvk,31,"['47z7ZrgFoBvVpCnElCE3Zh', '2YkP9pfIZ6hJKeuppuz8qT']"
48,0FjkcycxVB1Jd7mcdEDDWp,Magic,290704,5rJLO3VGCdRF16Cbnh8Ovu,61,"['5ttgIeUVka6FLyi00Uu5h8', '64KEffDW9EtZ1y2vBYgq8T']"
49,4rPlGyDd3KkfUQyEiYZo0X,Wheels in Motion,237170,3zS1pcFShFDqOKmXNtGrvr,30,"['2wo3eLY26t8AMyYuYi1pZQ', '5WuoHUDzojO8oto22ahnwN']"
